"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_010606445.1	null	Animals	Canada
GCA_010610145.1	null	Animals	Canada
GCA_010610645.1	null	Animals	Canada
GCA_010624305.1	null	Animals	Canada
GCA_010624845.1	null	Animals	Canada
GCA_010625025.1	null	Animals	Canada
GCA_010625145.1	null	Animals	Canada
GCA_010625165.1	null	Animals	Canada
GCA_010625185.1	null	Animals	Canada
GCA_010625205.1	null	Animals	Canada
GCA_010625245.1	null	Animals	Canada
GCA_010625265.1	null	Animals	Canada
GCA_010625285.1	null	Animals	Canada
GCA_010625305.1	null	Animals	Canada
GCA_010625325.1	null	Animals	Canada
GCA_010625445.1	null	Animals	Canada
GCA_010625465.1	null	Animals	Canada
GCA_010625485.1	null	Animals	Canada
GCA_010625525.1	null	Animals	Canada
GCA_010625545.1	null	Animals	Canada
GCA_010625585.1	null	Animals	Canada
GCA_010625605.1	null	Animals	Canada
GCA_010625685.1	null	Animals	Canada
GCA_010625725.1	null	Animals	Canada
GCA_010625745.1	null	Animals	Canada
GCA_010625785.1	null	Animals	Canada
GCA_010625805.1	null	Animals	Canada
GCA_010625825.1	null	Animals	Canada
GCA_010625845.1	null	Animals	Canada
GCA_010625905.1	null	Animals	Canada
GCA_010625945.1	null	Animals	Canada
GCA_010625955.1	null	Animals	Canada
GCA_010625985.1	null	Animals	Canada
GCA_010626045.1	null	Animals	Canada
GCA_010626085.1	null	Animals	Canada
GCA_010626095.1	null	Animals	Canada
GCA_010626125.1	null	Animals	Canada
GCA_010626165.1	null	Animals	Canada
GCA_010626245.1	null	Animals	Canada
GCA_010626305.1	null	Animals	Canada
GCA_010626405.1	null	Animals	Canada
GCA_010626425.1	null	Animals	Canada
GCA_010626485.1	null	Animals	Canada
GCA_010626505.1	null	Animals	Canada
GCA_010626705.1	null	Animals	Canada
GCA_010626945.1	null	Animals	Canada
GCA_010627065.1	null	Animals	Canada
GCA_010627105.1	null	Animals	Canada
GCA_010627445.1	null	Animals	Canada
GCA_010627565.1	null	Animals	Canada
GCA_010627625.1	null	Animals	Canada
GCA_010627805.1	null	Animals	Canada
GCA_010627945.1	null	Animals	Canada
GCA_010628425.1	null	Animals	Canada
GCA_010628675.1	null	Animals	Canada
GCA_010650465.1	null	Animals	Canada
GCA_010650535.1	null	Animals	Canada
GCA_010650555.1	null	Animals	Canada
GCA_010650665.1	null	Animals	Canada
GCA_010650865.1	null	Animals	Canada
GCA_010651005.1	null	Animals	Canada
GCA_010651065.1	null	Animals	Canada
GCA_010651105.1	null	Animals	Canada
GCA_010651145.1	null	Animals	Canada
GCA_010651175.1	null	Animals	Canada
GCA_010651325.1	null	Animals	Canada
GCA_010651345.1	null	Animals	Canada
GCA_010651365.1	null	Animals	Canada
GCA_010651625.1	null	Animals	Canada
GCA_010651645.1	null	Animals	Canada
GCA_010652765.1	null	Animals	Canada
GCA_010653525.1	null	Animals	Canada
GCA_010766455.1	null	Animals	Canada
GCA_010766535.1	null	Animals	Canada
GCA_010766555.1	null	Animals	Canada
GCA_010766715.1	null	Animals	Canada
GCA_010766735.1	null	Animals	Canada
GCA_010767095.1	null	Animals	Canada
GCA_010767215.1	null	Animals	Canada
GCA_010767225.1	null	Animals	Canada
GCA_010767255.1	null	Animals	Canada
GCA_010767295.1	null	Animals	Canada
GCA_010767355.1	null	Animals	Canada
GCA_010767375.1	null	Animals	Canada
